title,link,published,retrieved_at,relevanceSource,author,abstract,category
Tighter yet more tractable relaxations and nontrivial instance generation for sparse standard quadratic optimization,https://arxiv.org/abs/2406.01239,,06/04/2024 09:20,Manual,"Immanuel Bomze, Bo Peng, Yuzhou Qiu, E. Alper Yildirim","The Standard Quadratic optimization Problem (StQP), arguably the simplest among all classes of NP-hard optimization problems, consists of extremizing a quadratic form (the simplest nonlinear polynomial) over the standard simplex (the simplest polytope/compact feasible set). As a problem class, StQPs may be nonconvex with an exponential number of inefficient local solutions. StQPs arise in a multitude of applications, among them mathematical finance, machine learning (clustering), and modeling in biosciences (e.g., selection and ecology). This paper deals with such StQPs under an additional sparsity or cardinality constraint, which, even for convex objectives, renders NP-hard problems. One motivation to study StQPs under such sparsity restrictions is the high-dimensional portfolio selection problem with too many assets to handle, in particular, in the presence of transaction costs. Here, relying on modern conic optimization techniques, we present tractable convex relaxations for this relevant but difficult problem. We propose novel equivalent reformulations of these relaxations with significant dimensional reduction, which is essential for the tractability of these relaxations when the problem size grows. Moreover, we propose an instance generation procedure which systematically avoids too easy instances. Our extensive computational results illustrate the high quality of the relaxation bounds in a significant number of instances. Furthermore, in contrast with exact mixed-integer quadratic programming models, the solution time of the relaxations is very robust to the choices of the problem parameters. In particular, the reduced formulations achieve significant improvements in terms of the solution time over their counterparts.",math.OC
Ponzi Funds,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4834390,5/20/2024 18:35,05/20/2024 18:35,Manual,"Philippe van der Beck, Jean-Philippe  Bouchaud, Dario Villamaina","Many active funds hold concentrated portfolios. Flow-driven trading in these securities causes price pressure, which pushes up the funds' existing positions resulting in realized returns. We decompose fund returns into a price pressure (self-inflated) and a fundamental component and show that when allocating capital across funds, investors are unable to identify whether realized returns are self-inflated or fundamental. Because investors chase self-inflated fund returns at a high frequency, even short-lived impact meaningfully affects fund flows at longer time scales. The combination of price impact and return chasing causes an endogenous feedback loop and a reallocation of wealth to early fund investors, which unravels once the price pressure reverts. We find that flows chasing self-inflated returns predict bubbles in ETFs and their subsequent crashes, and lead to a \textit{daily} wealth reallocation of \$500 Million from ETFs alone. We provide a simple regulatory reporting measure -- fund illiquidity -- which captures a fund's potential for self-inflated returns.",
Stock-Bond Correlation: Theory &amp; Empirical Results,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4823094,5/11/2024 12:58,05/11/2024 12:58,Manual,"Lorenzo Portelli, Thierry Roncalli","Stock-bond correlation is an important component of portfolio allocation. It is widely used by institutional investors to determine strategic asset allocation, and is carefully monitored by multi-asset fund managers to implement tactical asset allocation. Over the past 20 years, the correlation between stock and bond returns in the US has been negative, while it was largely positive prior to the dot-com crisis. Investors currently believe that a negative stock-bond correlation is more beneficial than a positive stock-bond correlation because it reduces the risk of a balanced portfolio and limits drawdowns during periods of equity market distress. <br /><br />In this study, we provide an overview of stock-bond correlation modeling. In the first part, we present several theoretical models related to the comovement of stock and bond returns. We distinguish between performance and hedging assets and show that negative correlation implies a negative bond risk premium due to the covariance risk premium component. In contrast, the payoff approach can explain that bonds can be both performance and hedging assets. In addition, a good understanding of the stock-bond correlation requires an assessment of the relationship between the aggregate stock-bond correlation at the portfolio level and the individual stock-bond correlation at the asset level. Macroeconomic models are also useful in interpreting the sign of the stock-bond correlation. They can be divided into three categories: inflation-centric, real-centric, and inflation-growth based. <br /><br />The second part presents the empirical results. We find that the joint dynamics of stock and bond returns differ across countries. The negative stock-bond correlation is mainly associated with the North American market and the European market before the European debt crisis. When sovereign credit risk is a concern, we generally observe a positive stock-bond correlation. However, even in the US, we cannot speak of a unique stock-bond correlation, as the level depends strongly on the composition of the equity portfolio. We also confirm the influence of the inflation factor, but the results for the growth factor are not robust. Finally, we show that the stock-bond correlation is mainly explained by the extreme market regimes, since the stock-bond correlation can be assumed to be zero in normal market regimes.",
Quantities and Covered-Interest Parity,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4820243,5/7/2024 20:38,05/07/2024 20:38,Manual,"Tobias J. Moskowitz, Chase P. Ross, Sharon Y. Ross, Kaushik Vasudevan","Studies of intermediated arbitrage argue that bank balance sheets are an important consideration, yet little evidence exists on banks' positioning in this context. Using confidential supervisory data—covering $25 trillion in daily notional exposures—we examine banks' positions in connection with covered-interest parity (CIP) deviations. Exploiting cross-sectional variation in CIP deviations that has largely presented a puzzle to existing theories, we document the importance of three novel forces: 1) foreign safe asset scarcity, 2) market power and segmentation of banks specializing in different markets, and 3) concentration of demand. Our findings shed empirical light on the interplay of frictions influencing banks' global provision of dollar funding.",
Riding Wavelets: A Method to Discover New Classes of Price Jumps,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4808382,4/26/2024 18:05,04/26/2024 18:05,Manual,"Cecilia Aubrun, Rudy Morel, Michael Benzaquen, Jean-Philippe Bouchaud","Cascades of events and extreme occurrences have garnered significant attention across diverse domains such as financial markets, seismology, and social physics.  <br />Such events can stem either from the internal dynamics inherent to the system (endogenous), or from external shocks (exogenous). The possibility of separating these events into two classes has critical implications for professionals in those fields. We introduce an unsupervised framework leveraging a representation of jump time-series based on wavelet coefficients and apply it to stock price jumps. In line with previous work, we recover the fact that the time-asymmetry of volatility is a major feature. Mean-reversion and trend are found to be two additional key features, allowing us to identify new classes of jumps. Furthermore, thanks to our wavelet-based representation, we investigate the reflexive properties of co-jumps, which occur when multiple stocks experience price jumps within the same minute. We argue that a significant fraction of co-jumps results from an endogenous contagion mechanism.",
Cutting to the Chase on ESG,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4797597,4/17/2024 13:27,04/17/2024 13:27,Manual,"Guillaume Burnichon, Frederic Lepetit, Th&amp;eacute;o Le Guenedal, Takaya Sekine, Rapha&euml;l Semet, Lauren Stagnol","In this study we conduct a thorough analysis of the performance metrics associated with the sub-criteria that comprise environmental, social, and governance (ESG) pillars, focusing on equity markets. Our research reveals that, in a context of growing mistrust in ESG, the aggregation of extra-financial indicators and the reliance on a global ESG score may conceal opportunities at a more granular level. Indeed we showcase that sub-pillars of E, S and G yield more differentiating returns compared to global ESG score, which holds across Eurozone, North America and Emerging Asia since 2021. In North America, the Waste and Biodiversity pillar rallied over the period. In Eurozone and Emerging Asia we point at a dependence from the Emissions and Energy performance on commodity prices: companies with controlled emissions profile outperform their browner peers when commodity prices are high. This emerging selectivity is also reflected in flows. While responsible investment funds experienced a net outflow in 2022 and 2023 for the first time since ESG inception in the early 2010s, the strategies with the highest levels of conviction were the most resilient in terms of flows.",
Eggs in a Basket: Harry Markowitz’s Contribution and How I Achieved Erdős 3,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4753156,3/18/2024 22:42,03/18/2024 22:42,Manual,Campbell R. Harvey,"How many times have you heard: ""Don't put all your eggs in one basket"" when referring to stock investments? That is Harry Markowitz's foundational contribution. Many of my research ideas were a direct result his insights. In his famous 1952 paper, he realized that the mean-variance efficient portfolio was only optimal if there was no preference for skewness. This led to my work in the Journal of Finance expanding the definition of risk to include skewness and estimating mean-variance-skewness efficient portfolios. The 1952 paper also assumes static probability beliefs. This inspired a line of research looking at dynamic probability beliefs with time-varying risk and expected returns. Finally, in the Markowitz framework, the expected returns, variances and covariances are assumed to be exactly known. My work on Bayesian portfolio optimization relaxes this assumption and allows for uncertainty in the inputs. My research epitaph might read: He was a careful reader of Harry Markowitz's footnotes.",
Course 2023-2024 in Sustainable Finance &amp; Climate Change,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4730853,3/18/2024 18:29,03/18/2024 18:29,Manual,Thierry Roncalli,"These lectures notes have been written for the course in Sustainable Finance given at the University of Paris-Saclay. The slides cover the following topics: 1. Introduction, 2. ESG Scoring,3. Impact of ESG Investing on Asset Prices and Portfolio Returns, 4. Sustainable Financial Products,5. Impact Investing, 6. Engagement &amp; Voting Policy, 7. Extra-financial Accounting, 8. Awareness of Climate Change Impacts, 9. The Ecosystem of Climate Change, 10. Economic Models \&amp; Climate Change, 11. Climate Risk Measures, 12. Transition Risk Modeling, 13. Climate Portfolio Construction. 14. Physical Risk Modeling and 15. Climate Stress Testing &amp; Risk Management",
Can Machines Learn Weak Signals?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4748784,3/6/2024 21:43,03/06/2024 21:43,Manual,"Zhouyu Shen, Dacheng Xiu","In high-dimensional regression scenarios with low signal-to-noise ratios, we assess the predictive performance of several machine learning algorithms. Theoretical insights show Ridge regression’s superiority in exploiting weak signals, surpassing a zero benchmark. In contrast, Lasso fails to exceed this baseline, indicating its learning limitations. Simulations reveal that Random Forest generally outperforms Gradient Boosted Regression Trees when signals are weak. Moreover, Neural Networks with ℓ2-regularization excel in capturing nonlinear functions of weak signals. Our empirical analysis across six economic datasets suggests that the weakness of signals, not necessarily the absence of sparsity, may be Lasso’s major limitation in economic predictions.",
Machine Learning Methods for Pricing Financial Derivatives,https://arxiv.org/abs/2406.00459,,06/04/2024 09:20,Manual,"Lei Fan, Justin Sirignano","Stochastic differential equation (SDE) models are the foundation for pricing and hedging financial derivatives. The drift and volatility functions in SDE models are typically chosen to be algebraic functions with a small number (less than 5) parameters which can be calibrated to market data. A more flexible approach is to use neural networks to model the drift and volatility functions, which provides more degrees-of-freedom to match observed market data. Training of models requires optimizing over an SDE, which is computationally challenging. For European options, we develop a fast stochastic gradient descent (SGD) algorithm for training the neural network-SDE model. Our SGD algorithm uses two independent SDE paths to obtain an unbiased estimate of the direction of steepest descent. For American options, we optimize over the corresponding Kolmogorov partial differential equation (PDE). The neural network appears as coefficient functions in the PDE. Models are trained on large datasets (many contracts), requiring either large simulations (many Monte Carlo samples for the stock price paths) or large numbers of PDEs (a PDE must be solved for each contract). Numerical results are presented for real market data including S&amp;P 500 index options, S&amp;P 100 index options, and single-stock American options. The neural-network-based SDE models are compared against the Black-Scholes model, the Dupire's local volatility model, and the Heston model. Models are evaluated in terms of how accurate they are at pricing out-of-sample financial derivatives, which is a core task in derivative pricing at financial institutions.","q-fin.CP, q-fin.MF, q-fin.ST"
Not feeling the buzz: Correction study of mispricing and inefficiency in online sportsbooks,https://arxiv.org/abs/2306.01740,,06/04/2024 09:20,Manual,"Lawrence Clegg, John Cartlidge","We present a replication and correction of a recent article (Ramirez, P., Reade, J.J., Singleton, C., Betting on a buzz: Mispricing and inefficiency in online sportsbooks, International Journal of Forecasting, 39:3, 2023, pp. 1413-1423, doi: 10.1016/j.ijforecast.2022.07.011). RRS measure profile page views on Wikipedia to generate a ""buzz factor"" metric for tennis players and show that it can be used to form a profitable gambling strategy by predicting bookmaker mispricing. Here, we use the same dataset as RRS to reproduce their results exactly, thus confirming the robustness of their mispricing claim. However, we discover that the published betting results are significantly affected by a single bet (the ""Hercog"" bet), which returns substantial outlier profits based on erroneously long odds. When this data quality issue is resolved, the majority of reported profits disappear and only one strategy, which bets on ""competitive"" matches, remains significantly profitable in the original out-of-sample period. While one profitable strategy offers weaker support than the original study, it still provides an indication that market inefficiencies may exist, as originally claimed by RRS. As an extension, we continue backtesting after 2020 on a cleaned dataset. Results show that (a) the ""competitive"" strategy generates no further profits, potentially suggesting markets have become more efficient, and (b) model coefficients estimated over this more recent period are no longer reliable predictors of bookmaker mispricing. We present this work as a case study demonstrating the importance of replication studies in sports forecasting, and the necessity to clean data. We open-source release comprehensive datasets and code.","stat.AP, cs.CE, q-fin.GN, q-fin.ST"
Modelling and Forecasting Energy Market Volatility Using GARCH and Machine Learning Approach,https://arxiv.org/abs/2405.19849,,06/03/2024 00:00,Manual,Seulki Chung,"This paper presents a comparative analysis of univariate and multivariate GARCH-family models and machine learning algorithms in modeling and forecasting the volatility of major energy commodities: crude oil, gasoline, heating oil, and natural gas. It uses a comprehensive dataset incorporating financial, macroeconomic, and environmental variables to assess predictive performance and discusses volatility persistence and transmission across these commodities. Aspects of volatility persistence and transmission, traditionally examined by GARCH-class models, are jointly explored using the SHAP (Shapley Additive exPlanations) method. The findings reveal that machine learning models demonstrate superior out-of-sample forecasting performance compared to traditional GARCH models. Machine learning models tend to underpredict, while GARCH models tend to overpredict energy market volatility, suggesting a hybrid use of both types of models. There is volatility transmission from crude oil to the gasoline and heating oil markets. The volatility transmission in the natural gas market is less prevalent.",econ.EM
